Date,Open,High,Low,Close
1/3/1961,615.9,616.7,606.1,610.3
1/4/1961,610.3,623.4,608.5,621.5
1/5/1961,621.5,628.4,619.2,622.7
1/6/1961,622.7,624.6,615.7,621.6
1/9/1961,621.6,627.9,620.1,624.4
1/10/1961,624.4,630.9,621,625.7
1/11/1961,625.7,631.9,622.4,627.2
1/12/1961,627.2,633.2,623.3,628.5
1/13/1961,628.5,636.2,626.5,633.7
1/16/1961,633.7,639.2,629.9,633.2
1/17/1961,633.2,634.3,625.5,629
1/18/1961,629,636.4,626.5,634.1
1/19/1961,634.1,637.2,628.8,632.4
1/20/1961,632.4,637.8,630.4,634.4
1/23/1961,634.4,642.7,634.1,639.8
1/24/1961,639.8,642.2,634.9,638.8
1/25/1961,638.8,643.1,633.8,637.7
1/26/1961,637.7,641.8,632.7,638.9
1/27/1961,638.9,648.2,636.5,643.6
1/30/1961,643.6,654,642.3,650.6
1/31/1961,650.6,655.2,644.2,648.2
2/1/1961,648.2,652.8,643.7,649.4
2/2/1961,649.4,655.6,646.4,653.6
2/3/1961,653.6,657.2,647.4,653
2/6/1961,653,653.7,642.1,645.7
2/7/1961,645.7,647.5,638,643.9
2/8/1961,643.9,651.4,641,648.9
2/9/1961,648.9,651.6,641.6,645.1
2/10/1961,645.1,646,635.6,639.7
2/13/1961,639.7,640.9,632.8,637
2/14/1961,637,646.4,635.4,642.9
2/15/1961,642.9,651.9,641.5,648.9
2/16/1961,648.9,656.4,646.6,651.9
2/17/1961,651.9,656.2,647.9,651.7
2/20/1961,651.7,657.3,649,653.7
2/21/1961,653.7,657.5,649,652.4
2/23/1961,652.4,657.5,648.6,654.4
2/24/1961,654.4,659.6,651,655.6
2/27/1961,655.6,662.1,652.6,660.4
2/28/1961,660.4,667,657.2,662.1
3/1/1961,662.1,666.3,657.1,663
3/2/1961,663,671.5,661,669.4
3/3/1961,669.4,676.1,666.6,671.6
3/6/1961,671.6,678.2,668.8,674.5
3/7/1961,674.5,674.8,662.8,667.1
3/8/1961,667.1,670.5,660.7,666.2
3/9/1961,666.2,670.1,660.4,663.3
3/10/1961,663.3,667.9,658.6,663.6
3/13/1961,663.6,668.5,659.5,664.4
3/14/1961,664.4,667.1,657.9,661.1
3/15/1961,661.1,666,656.4,662.9
3/16/1961,662.9,674.2,660.4,670.4
3/17/1961,670.8,681.6,670.8,676.5
3/20/1961,676.5,684.1,674.1,678.8
3/21/1961,678.8,682.9,672.4,678.7
3/22/1961,678.7,685.3,675.2,679.4
3/23/1961,679.4,680.5,671.8,675.5
3/24/1961,675.5,677.3,668.6,672.5
3/27/1961,672.5,675.3,667.2,671
3/28/1961,671,675,665.7,669.6
3/29/1961,669.6,679.2,667.6,676.4
3/30/1961,676.4,682,673.1,676.6
4/3/1961,676.6,684.3,673,677.6
4/4/1961,677.6,683.1,673.8,678.7
4/5/1961,678.7,681,671.8,677.3
4/6/1961,677.3,682.6,673.4,679.3
4/7/1961,679.3,687.8,676.5,683.7
4/10/1961,684.2,695.8,684.2,692.1
4/11/1961,692.1,700.3,687.9,694.1
4/12/1961,694.1,697.4,687,690.2
4/13/1961,690.2,696.1,685.5,692
4/14/1961,692,698.5,688.1,693.7
4/17/1961,693.7,700.8,689.3,696.7
4/18/1961,696.7,697.4,687.6,690.6
4/19/1961,690.6,690.7,679.6,686.2
4/20/1961,686.2,689,679.8,684.2
4/21/1961,684.2,689.4,678.8,685.3
4/24/1961,684.2,684.2,671.6,672.7
4/25/1961,672.7,686.7,672.6,683.1
4/26/1961,683.1,689,678.9,682.2
4/27/1961,682.2,686.8,675.8,679.5
4/28/1961,679.5,684,673.3,678.7
5/1/1961,678.7,683.2,673,677.1
5/2/1961,677.1,685.3,674.7,682.3
5/3/1961,682.3,691.5,682.1,688.9
5/4/1961,688.9,696.2,686.5,692.3
5/5/1961,692.3,697.3,687.6,690.7
5/8/1961,690.7,695.4,685.2,689.1
5/9/1961,689.1,692.7,683.5,686.9
5/10/1961,686.9,690.7,682.9,686.6
5/11/1961,686.6,689.8,682.1,686.5
5/12/1961,686.5,691.5,683.4,687.9
5/15/1961,687.9,696.4,684.5,692.4
5/16/1961,692.4,700.4,690.5,697.7
5/17/1961,697.7,708.5,695.2,705.5
5/18/1961,705.5,709,697.7,701.1
5/19/1961,701.1,708.9,698.4,706
5/22/1961,706,714.7,697.7,702.4
5/23/1961,702.4,707.3,697.3,700.6
5/24/1961,700.6,702.6,689.8,696.5
5/25/1961,696.5,699.1,687.6,690.2
5/26/1961,690.2,699.5,686.1,696.3
5/31/1961,696.3,703,692.7,696.7
6/1/1961,696.7,700.9,691.4,695.4
6/2/1961,695.4,700.8,691.5,697.7
6/5/1961,697.7,708.6,695.3,703.4
6/6/1961,703.4,708.9,699.2,703.8
6/7/1961,703.8,708.1,697.7,700.9
6/8/1961,700.9,704.5,695.3,701.7
6/9/1961,701.7,705.9,697.4,700.9
6/12/1961,700.9,702.3,693.2,696.8
6/13/1961,696.8,698.9,690.2,694.2
6/14/1961,694.2,700.5,691.4,695.8
6/15/1961,695.8,699.7,689.7,691.3
6/16/1961,691.3,692,681.2,685.5
6/19/1961,685.5,686.5,673.5,680.7
6/20/1961,680.7,691,679.5,687.9
6/21/1961,687.9,691.4,683.1,686.1
6/22/1961,686.1,690,680.1,685.6
6/23/1961,685.6,692.8,683.6,688.7
6/26/1961,688.7,690,679.2,681.2
6/27/1961,681.2,687.2,676.3,683.9
6/28/1961,683.9,690,681.2,684.6
6/29/1961,684.6,687.3,679.6,682
6/30/1961,682,687.2,678.2,684
7/3/1961,684,691.5,681.9,689.8
7/5/1961,689.8,696.8,688.3,692.8
7/6/1961,692.8,699,690.4,694.3
7/7/1961,694.3,697.9,689.6,692.7
7/10/1961,692.7,698.5,689.3,693.2
7/11/1961,693.2,698.2,691,694.5
7/12/1961,694.5,696.3,687.3,690.8
7/13/1961,690.8,690.8,683.2,685.9
7/14/1961,685.9,693.7,682.6,691
7/17/1961,691,693.5,683.5,684.6
7/18/1961,684.6,688,677.4,679.3
7/19/1961,679.3,685.2,674.8,682.7
7/20/1961,682.7,686.2,678.3,683
7/21/1961,683,686.8,679.1,682.8
7/24/1961,682.8,687.2,678.3,682.1
7/25/1961,682.1,688.9,679.7,686.4
7/26/1961,687.6,698,687.6,694.2
7/27/1961,694.2,706,693.4,702.8
7/28/1961,702.8,709.8,700,705.1
7/31/1961,705.1,709.8,700.5,705.4
8/1/1961,705.4,716,702.2,713.9
8/2/1961,713.9,719.9,707.9,710.5
8/3/1961,710.5,720.4,709,715.7
8/4/1961,715.7,723.6,715.1,720.7
8/7/1961,720.7,723.1,713,719.6
8/8/1961,719.6,725.8,715.9,720.2
8/9/1961,720.2,722.3,713.9,717.6
8/10/1961,717.6,723,713.5,720.5
8/11/1961,720.5,726.6,717.3,722.6
8/14/1961,722.6,724,714.5,718.9
8/15/1961,718.9,722.9,714.2,716.2
8/16/1961,716.2,720.7,712.6,718.2
8/17/1961,718.2,725.8,715.5,721.8
8/18/1961,721.8,727.5,719.3,723.5
8/21/1961,723.5,728.4,719.5,724.8
8/22/1961,724.8,730.2,720.3,725.8
8/23/1961,725.8,726.9,717.3,720.5
8/24/1961,719.4,719.4,709.5,714
8/25/1961,714,720.1,712,716.7
8/28/1961,716.7,722.2,712.3,716
8/29/1961,716,718.5,709.8,714.2
8/30/1961,714.2,720.1,711.1,716.9
8/31/1961,716.9,723.1,713.8,719.9
9/1/1961,719.9,725,716.3,721.2
9/5/1961,721.2,726,716.3,718.7
9/6/1961,719.6,728.8,719.6,726
9/7/1961,726,733.5,723.1,726.5
9/8/1961,726.5,727.3,717.7,720.9
9/11/1961,720.9,721.4,710.5,714.4
9/12/1961,714.4,725.9,714,722.6
9/13/1961,722.6,727.7,718.8,722.2
